In : 246 , Out : 157 , Current : 158
In : 246 , Out : 200 , Current : 158
In : 246 , Out : 157 , Current : 158
In : 246 , Out : 200 , Current : 158
In : 162 , Out : 73 , Current : 304
In : 162 , Out : 305 , Current : 304
In : 162 , Out : 305 , Current : 304
In : 162 , Out : 73 , Current : 304
In : 73 , Out : 162 , Current : 304
In : 73 , Out : 305 , Current : 304
In : 73 , Out : 162 , Current : 304
In : 73 , Out : 305 , Current : 304
In : 305 , Out : 162 , Current : 304
In : 305 , Out : 73 , Current : 304
In : 305 , Out : 162 , Current : 304
In : 305 , Out : 73 , Current : 304
In : 305 , Out : 162 , Current : 304
In : 305 , Out : 162 , Current : 304
In : 305 , Out : 73 , Current : 304
In : 73 , Out : 162 , Current : 304
In : 73 , Out : 162 , Current : 304
In : 73 , Out : 305 , Current : 304
In : 267 , Out : 328 , Current : 275
In : 267 , Out : 316 , Current : 275
In : 267 , Out : 328 , Current : 275
In : 267 , Out : 316 , Current : 275
In : 328 , Out : 267 , Current : 275
In : 328 , Out : 267 , Current : 275
In : 328 , Out : 316 , Current : 275
In : 328 , Out : 316 , Current : 275
